"RefSeq number"	"Virus name"	"Species"	"Virus name"	"Isolate"	"Accession number"	"RefSeq number"	"Virus Abbrev."	"taxo"
"NC_019857"	"Pan troglodytes polyomavirus 6 isolate 5743"	"Pan troglodytes polyomavirus 6"	"Pan troglodytes verus polyomavirus 5"	5743	"JX159982"	"NC_019857"	"PtrovPyV5"	"alpha"
"NC_019858"	"Pan troglodytes polyomavirus 7 isolate 6350"	"Pan troglodytes polyomavirus 7"	"Pan troglodytes schweinfurthii polyomavirus 2"	6350	"JX159983"	"NC_019858"	"PtrosPyV2"	"alpha"
"NC_027532"	"Pan troglodytes troglodytes polyomavirus 1 isolate F514.1"			" F514.1"		"NC_027532"	"PtrotPyV1"	"unassigned"
"NC_025368"	"Pan troglodytes verus polyomavirus 1a isolate 6444"	"Pan troglodytes polyomavirus 2"	"Pan troglodytes verus polyomavirus 1a"	6444	"HQ385746"	"NC_025368"	"PtrovPyV1a"	"alpha"
"NC_028635"	"Pan troglodytes verus polyomavirus 8 isolate Ch-Regina"	"Pan troglodytes polyomavirus 8"	"Pan troglodytes verus polyomavirus 8"	"Ch-Regina"	"KT884050"	"NC_028635"	"PtrovPyV8"	"beta"
"NC_040822"	"Panthera leo polyomavirus 1 isolate 3884"			3884		"NC_040822"	"PantheraPyV"	"unassigned"
"NC_040705"	"Philantomba monticola polyomavirus 1 isolate 9781 GN365"			"9781 GN365"		"NC_040705"	"PhilantombaPyV"	"unassigned"
"NC_039051"	"Piliocolobus badius polyomavirus 2 isolate 5947"	"Piliocolobus badius polyomavirus 1"	"Piliocolobus badius polyomavirus 2"	5947	"KX509984"	"NC_039051"	"PbadPyV2"	"alpha"
"NC_019850"	"Piliocolobus rufomitratus polyomavirus 1 isolate 4601"	"Piliocolobus rufomitratus polyomavirus 1"	"Piliocolobus rufomitratus polyomavirus 1"	4601	"JX159984"	"NC_019850"	"PrufPyV1"	"alpha"
"NC_031757"	"Polyomavirus sp. isolate poly-CA1"			" Poly-CA1"		"NC_031757"	"PyVCA1"	"unassigned"
"NC_033737"	"Pomona leaf-nosed bat associated polyomavirus 1 complete genome"					"NC_033737"	"PlnBatPyV"	"unassigned"
"NC_040714"	"Porcine polyomavirus strain 180230"					"NC_040714"	"PorcPyV"	"unassigned"
"NC_040634"	"Potamochoerus porcus polyomavirus 1 isolate 9780 PI225"			"9780 PI225"		"NC_040634"	"PotamochoerusPyV"	"unassigned"
"NC_020070"	"Pteronotus davyi polyomavirus 1 isolate GTM203"	"Pteronotus davyi polyomavirus 1"	"Pteronotus polyomavirus"	"GTM203"	"JX520662"	"NC_020070"	"PteronotusPyV"	"beta"
"NC_028121"	"Pteronotus parnellii polyomavirus 1 isolate R266"	"Pteronotus parnellii polyomavirus 1"	"bat polyomavirus 2b"	"R226"	"JQ958891"	"NC_028121"	"BatPyV2b"	"beta"
"NC_023845"	"Raccoon polyomavirus strain R45"	"Procyon lotor polyomavirus 1"	"raccoon polyomavirus"	"R45"	"JQ178241"	"NC_023845"	"RacPyV"	"alpha"
"NC_034378"	"Raccoon-associated polyomavirus 2 isolate Rac2"	"Procyon lotor polyomavirus 2"	"raccoon-associated polyomavirus 2"	"Rac2"	"KY549442"	"NC_034378"	"PlotPyV1"	"unassigned"
"KX574453"	"Rat polyomavirus 2 strain PITT4"	"Rattus norvegicus polyomavirus 2"	"rat polyomavirus 2"	"PITT4"	"KX574453"		"RatPyV2"	"beta"
"NC_027531"	"Rattus norvegicus polyomavirus 1 isolate 3690"	"Rattus norvegicus polyomavirus 1"	"Rattus norvegicus polyomavirus 1"	3690	"KR075943"	"NC_027531"	"RnorPyV1"	"alpha"
"NC_032005"	"Rattus norvegicus polyomavirus 2 isolate 1014-2016-2"	"Rattus norvegicus polyomavirus 2"		"1014-2016-2"	"KX808699.1"	"NC_032005"	"RnorPyV2"	"beta"
"NC_040538"	"Rhinolophus blasii polyomavirus 2 DNA"					"NC_040538"	"RbPyV2"	"unassigned"
"NC_034218"	"Rhinolophus hildebrandtii polyomavirus 1 DNA"					"NC_034218"	"RhPyV1"	"unassigned"
"NC_040607"	"Rhinolophus simulator polyomavirus 1 DNA"					"NC_040607"	"RsPyV1"	"unassigned"
"NC_040676"	"Rhinolophus simulator polyomavirus 2 DNA"					"NC_040676"	"RsPyV2"	"unassigned"
"NC_040677"	"Rhinolophus simulator polyomavirus 3 DNA"					"NC_040677"	"RsPyV3"	"unassigned"
"NC_034219"	"Rousettus aegyptiacus polyomavirus 1 DNA"	"Rousettus aegyptiacus polyomavirus 1"	"Rousettus aegyptiacus polyomavirus 1"	"12SuB01"	"LC185218"	"NC_034219"	"RaegPyV1"	"beta"
"NC_038559"	"Saimiri sciureus polyomavirus 1"	"Saimiri sciureus polyomavirus 1"	"Saimiri sciureus polyomavirus 1"	2033	"JX159989"	"NC_038559"	"SsciPyV1"	"beta"
"NC_025259"	"Sea otter polyomavirus 1 isolate 6831-13"			"6831-13"		"NC_025259"	"otterPyV"	"unassigned"
"NC_026942"	"Sheep polyomavirus 1 isolate VH4-S14 from USA"			" VH4-S14"		"NC_026942"	"SheepPyV"	"unassigned"
"NC_001669"	"Simian virus 12"					"NC_001669"	"SV12"	"unassigned"
"NC_001669"	"Simian virus 40 complete genome"	"Macaca mulatta polyomavirus 1"	"simian virus 40"	776	"J02400"	"NC_001669"	"SV40"	"beta"
"MF374997"	"Sorex araneus polyomavirus 1 isolate GER_#4608_MU/06/0215/MV"	"Sorex araneus polyomavirus 1"	"Sorex araneus polyomavirus 1"	"GER_#4608_MU/06/0215/MV; hu1403"	"MF374997"		"SaraPyV1"	"alpha"
"MF374999"	"Sorex coronatus polyomavirus 1 isolate #7586_MU08/1013"	"Sorex coronatus polyomavirus 1"	"Sorex coronatus polyomavirus 1"	"GER_#7586_MU08/1013"	"MF374999"		"SminPyV1"	"alpha"
"MF401583"	"Sorex minutus polyomavirus 1 isolate GER_#7607_MU10/2265"	"Sorex minutus polyomavirus 1"	"Sorex minutus polyomavirus 1"	"GER_#7607_MU10/2265"	"MF401583"		"ScorPyV1"	"alpha"
"NC_030838"	"Sparus aurata polyomavirus 1"	"Sparus aurata polyomavirus 1"	"Sparus aurata polyomavirus 1"	"SA9poly"	"KX643371"	"NC_030838"	"SaurPyV1"	"unassigned"
"NC_009951"	"Squirrel monkey polyomavirus"	"Saimiri boliviensis polyomavirus 1"	"squirrel monkey polyomavirus"	"Squi0106"	"AM748741"	"NC_009951"	"SquiPyV"	"beta"
"NC_020106"	"STL polyomavirus strain MA138"	"Human polyomavirus 11"	"STL polyomavirus"	"MA138"	"JX463183"	"NC_020106"	"STLPyV"	"delta"
"NC_038557"	"Sturnira lilium polyomavirus 1 isolate B0454"	"Sturnira lilium polyomavirus 1"	"bat polyomavirus 3a-B0454"	"B0454"	"JQ958888"	"NC_038557"	"BatPyV3a-B0454"	"alpha"
"NC_028127"	"Sumatran orang-utan polyomavirus complete genome"	"Pongo abelii polyomavirus 1"	"Sumatran orang-utan polyomavirus"	"Sum/Pi"	"FN356901"	"NC_028127"	"OraPyV-Sum"	"alpha"
"NC_040598"	"Sus scrofa polyomavirus 1 isolate 471"			471		"NC_040598"	"susScorfPyV"	"unassigned"
"NC_026012"	"Tadarida brasiliensis polyomavirus 1"					"NC_026012"	"TbraPyV1"	"unassigned"
"NC_026015"	"Tadarida brasiliensis polyomavirus 2"					"NC_026015"	"TbraPyV2"	"unassigned"
"NC_040638"	"Trematomus bernacchii polyomavirus 1 isolate BIS330"	"Trematomus bernacchii polyomavirus 1"	"emerald notothen polyomavirus 1"	"BIS330"	"MG800627"	"NC_040638"	"TberPyV1"	"unassigned"
"NC_026944"	"Trematomus polyomavirus 1 isolate PES6"	"Trematomus pennellii polyomavirus 1"	"sharp-spined notothenia polyomavirus"	"PES6"	"KP768176"	"NC_026944"	"SspPyV"	"unassigned"
"NC_014361"	"Trichodysplasia spinulosa-associated polyomavirus"	"Human polyomavirus 8"	"Trichodysplasia spinulosa-associated polyomavirus"	"Skin"	"GU989205"	"NC_014361"	"TSPyV"	"alpha"
"NC_040566"	"Tupaia glis polyomavirus 1 isolate 4373 Thai 87"			" 4373 Thai 87"		"NC_040566"	"TglisPyV"	"unassigned"
"NC_034251"	"Vicugna pacos polyomavirus 1 isolate UCD1"	"Vicugna pacos polyomavirus 1"	"alpaca polyomavirus"	"UCD1"	"KU879245"	"NC_034251"	"AlPyV"	"beta"
"NC_009539"	"WU Polyomavirus"	"Human polyomavirus 4"	"WU polyomavirus"	"B0"	"EF444549"	"NC_009539"	"WU virus; WUPyV"	"beta"
"NC_025894"	"Yellow baboon polyomavirus 1 DNA"	"Papio cynocephalus polyomavirus 1"	"yellow baboon polyomavirus 1"	"BS20"	"AB767294"	"NC_025894"	"YbPyV1"	"alpha"
"AB767295"	"Yellow baboon polyomavirus 2 DNA"	"Papio cynocephalus polyomavirus 2"	"yellow baboon polyomavirus 2"	"BS94/BK94"	"AB767295"		"YbPyV2"	"beta"
